0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
1	1	1	1	
0	0	0	0	
1	1	1	1	
4	4	4	4	
10	10	10	10	
17	17	17	17	
24	24	24	24	
44	44	44	44	
55	55	55	55	
89	89	89	89	
137	137	137	137	
157	157	157	157	
241	241	241	241	
371	370	371	370	
524	525	524	525	
690	690	690	690	
908	908	908	908	
1150	1150	1150	1150	
1493	1493	1493	1493	
1819	1819	1819	1819	
2181	2181	2181	2181	
2790	2790	2790	2790	
3156	3156	3156	3156	
3648	3647	3647	3648	
4058	4059	4059	4058	
4579	4579	4579	4579	
4880	4880	4880	4880	
5312	5312	5312	5312	
5763	5763	5763	5763	
5600	5598	5600	5598	
5567	5569	5567	5569	
5526	5526	5526	5526	
5315	5315	5315	5315	
5083	5083	5083	5083	
4556	4556	4556	4556	
4363	4363	4363	4363	
3732	3732	3732	3732	
3284	3284	3284	3284	
2813	2813	2813	2813	
2317	2317	2317	2317	
1896	1896	1896	1896	
1465	1465	1465	1465	
1163	1163	1163	1163	
919	919	919	919	
620	620	620	620	
510	510	510	510	
392	392	392	392	
247	247	247	247	
183	183	183	183	
120	120	120	120	
102	102	102	102	
47	47	47	47	
33	33	33	33	
19	19	19	19	
7	7	7	7	
12	12	12	12	
3	3	3	3	
1	1	1	1	
3	3	3	3	
0	0	0	0	
0	0	0	0	
0	0	0	0	
1	1	1	1	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
